[SHEET]	Calculo Para Teravolta
17	2020-01-01 00:00:00	133648.69353955	303063.29224619997	226241.727238	195798.79834192	169122.61050096003	179040.9238621	nan	nan	2020-01-01 00:00:00	24251.85796957431	53221.858803156385	50964.11177799999	30406.057245434786	24518.036185265955	29050.48839967337	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
18	2020-02-01 00:00:00	124307.36320140002	300475.10142039997	251463.62531	181099.069368	170600.23818656	169417.3699704	nan	nan	2020-02-01 00:00:00	26494.323686106654	55314.45476047587	62435.75420000011	46056.622370331985	29785.17507512038	25511.58765771921	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
19	2020-03-01 00:00:00	110263.57741770001	234299.6782882	257986.8673636	158223.92405744	238522.57985536003	179844.44394149998	nan	nan	2020-03-01 00:00:00	53025.19608795688	35080.80613636301	57462.85020233027	34955.21388733879	31520.309630852775	33984.051746210986	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
20	2020-04-01 00:00:00	123654.12927555	179038.823485	193773.79721319998	203631.87143583997	212465.78083623995	243311.94078999996	nan	nan	2020-04-01 00:00:00	20996.560225466485	31929.2799280725	48436.22521919798	36158.04117701648	22480.692288713268	45612.102795404964	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
21	2020-05-01 00:00:00	104881.73151270003	241585.22857439998	206924.46244759997	207632.39990016	159569.5373008	190680.66323219996	nan	nan	2020-05-01 00:00:00	15481.075333840447	37175.68697805441	56920.38827925947	35904.23866944821	19241.897901337972	42568.571450742165	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
22	2020-06-01 00:00:00	112292.50958479999	305532.7395602	192420.14731788004	156972.74724288	177270.51334096	192713.65967899997	nan	nan	2020-06-01 00:00:00	17551.665601221583	52017.973383565	50487.20462788004	23372.879928127775	25284.73856971183	40691.38811950327	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
23	2020-07-01 00:00:00	125534.24090374999	296791.9084668	197180.5405112233	202197.20947824	174765.18007511998	nan	nan	nan	2020-07-01 00:00:00	21070.86099673908	46692.42787244049	52527.61852882331	33424.64307310499	22707.092894010566	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
24	2020-08-01 00:00:00	127844.15247500001	309414.6995028	204130.05487699996	184838.43956847998	183479.80672256002	nan	nan	nan	2020-08-01 00:00:00	22735.9246283634	53275.52290505337	55482.01094207817	24208.3510631042	28938.058080043644	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
25	2020-09-01 00:00:00	116578.386025	303582.37992559996	201470.46231	215924.98193392	185941.41721608	nan	nan	nan	2020-09-01 00:00:00	17788.71382676151	51424.596740819135	49604.837477453984	34191.38406123663	31091.063477075804	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
26	2020-10-01 00:00:00	141939.273805	302885.5481696	199463.666988	196926.31300759997	212835.73021332003	nan	nan	nan	2020-10-01 00:00:00	10453.578055059508	56145.17440177599	45920.54759121922	16998.40504481038	24788.729504847113	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
27	2020-11-01 00:00:00	235319.58151	280898.0826328	199110.916755	227055.96255859995	182008.2279508	nan	nan	nan	2020-11-01 00:00:00	33755.319910033664	54174.56611368718	47888.55235499999	-2475.3199985952524	30276.233003540023	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
28	2020-12-01 00:00:00	241548.434225	172017.2310464	192300.001489	168238.6306847	178537.03740508	nan	nan	nan	2020-12-01 00:00:00	34619.92412506629	31682.680046355992	45688.784857626015	19715.93356474719	23218.047872375493	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
29	Total Regulado	1697812.0734754498	3229584.7133184	2522466.2698205034	2298540.3475777796	2245118.65960384	1155009.0014751998	13148531.065271175	nan	nan	298225.0004461898	558135.0280698193	623818.8860588686	332916.4500861062	313850.07448289485	217418.19016925397	2344363.6293131327	nan	nan	nan	nan	nan	nan	nan	nan	nan
